三门	10.18750	0.00000	5.02500	1000.11250	76.12500
上虞	9.67500	0.00000	3.03750	1011.88750	79.45000
东阳	10.40000	0.00000	3.07500	989.58750	71.38750
临安	9.91250	0.00000	2.91250	990.12500	68.56250
临海	9.80000	0.00000	5.35000	1000.90000	76.71250
丽水	11.58750	0.00000	2.82500	979.32500	79.98750
义乌	10.61250	0.00000	5.22500	996.47500	69.40000
乐清	13.37500	0.00000	9.28750	1005.81250	63.75000
云和	11.53750	0.00000	2.81250	943.77500	81.97500
仙居	10.51250	0.00000	3.05000	972.00000	67.93750
余姚	10.17500	0.00000	5.28750	1011.82500	72.56250
余杭	11.28750	0.00000	2.73750	1021.56250	72.63750
兰溪	10.25000	0.00000	2.80000	992.86250	76.93750
北仑	10.26250	0.00000	6.45000	1019.81250	78.77500
嘉兴	9.76250	0.00000	6.95000	1023.03750	75.16250
嘉善	10.03750	0.00000	4.56250	1022.50000	76.85000
天台	9.40000	0.00000	4.88750	981.88750	72.03750
奉化	9.93750	0.00000	4.93750	1002.78750	71.91250
宁波	10.11250	0.00000	5.25000	1011.86250	71.75000
宁海	10.06250	0.00000	5.02500	997.43750	75.73750
安吉	9.53750	0.00000	4.52500	1001.62500	67.87500
定海	11.83750	0.00000	7.33750	1021.85000	76.41250
富阳	10.36250	0.00000	2.77500	1001.67500	71.66250
岱山	12.68750	0.00000	7.43750	1021.70000	77.80000
嵊州	9.70000	0.00000	5.18750	988.31250	80.91250
嵊泗	12.50000	0.00000	9.78750	1021.73750	75.82500
平湖	8.88750	0.00000	6.75000	1023.33750	78.42500
平阳	12.47500	0.00000	4.88750	1007.63750	78.32500
庆元	11.78750	0.00000	7.00000	933.96250	75.37500
建德	10.47500	0.00000	2.76250	993.25000	76.56250
开化	10.48750	0.00000	3.15000	980.92500	74.67500
德清	11.25000	0.00000	2.46250	1015.98750	67.30000
慈溪	9.65000	0.00000	5.13750	1018.01250	81.57500
文成	13.45000	0.00000	2.91250	954.75000	77.38750
新昌	9.42500	0.00000	2.96250	983.82500	73.31250
普陀	12.68750	0.00000	8.90000	1021.81250	74.71250
景宁	11.40000	0.00000	2.76250	935.06250	76.77500
杭州	10.13750	0.00000	2.87500	1015.05000	68.17500
松阳	10.21250	0.28750	2.60000	966.77500	73.56250
柯桥	10.15000	0.00000	2.86250	1015.67500	79.51250
桐乡	10.38750	0.00000	4.46250	1022.26250	70.55000
桐庐	9.20000	0.00000	2.97500	999.63750	74.51250
椒江	12.41250	0.00000	6.86250	1013.28750	64.98750
武义	9.43750	0.00000	2.83750	988.78750	79.87500
永嘉	13.48750	0.00000	3.07500	987.22500	73.90000
永康	11.42500	0.00000	2.92500	994.97500	71.27500
江北	9.43750	0.00000	5.07500	1014.56250	82.55000
江山	11.05000	0.00000	7.17500	985.50000	78.03750
泰顺	11.66250	0.00000	2.88750	932.12500	79.88750
洞头	13.52500	0.00000	13.07500	1022.20000	72.76250
浦江	9.91250	0.00000	5.12500	1000.78750	72.37500
海宁	9.00000	0.00000	6.55000	1022.58750	77.30000
海曙	9.88750	0.00000	5.17500	1013.48750	80.73750
海盐	10.42500	0.00000	7.01250	1023.35000	77.80000
淳安	12.42500	0.00000	2.96250	977.03750	66.36250
温岭	12.15000	0.00000	10.13750	1012.36250	69.07500
温州	14.17500	0.00000	2.87500	995.78750	69.77500
湖州	9.30000	0.00000	4.51250	1019.07500	72.48750
瑞安	14.06250	0.00000	6.77500	1010.63750	69.70000
磐安	9.53750	0.00000	2.87500	972.32500	78.46250
绍兴	10.08750	0.00000	5.33750	1012.18750	73.46250
缙云	10.48750	0.00000	3.02500	984.23750	75.27500
苍南	13.17500	0.00000	5.21250	991.42500	79.00000
萧山	11.25000	0.00000	2.71250	1015.70000	70.50000
衢州	10.90000	0.00000	6.88750	994.57500	78.23750
诸暨	10.03750	0.00000	4.96250	998.78750	73.43750
象山	10.78750	0.00000	6.60000	1017.70000	78.96250
路桥	11.87500	0.00000	5.26250	1009.86250	79.77500
遂昌	10.27500	0.00000	2.53750	960.33750	73.05000
金华	11.03750	0.00000	3.08750	992.47500	74.73750
镇海	8.93750	0.00000	5.15000	1017.66250	80.16250
长兴	9.35000	0.00000	2.62500	1019.21250	71.40000
青田	12.58750	0.00000	3.07500	970.62500	70.61250
黄岩	12.61250	0.00000	5.18750	1003.56250	74.55000
龙泉	10.77500	0.00000	5.42500	928.61250	75.26250
龙港	13.61250	0.00000	4.91250	1005.57500	74.68750
龙游	9.91250	0.00000	2.71250	988.63750	77.70000
